record_id,paper_title,difficulty,figure_number,pdf_filename,geojson_filename,image_filename,source_url,license,caption
breeding_population_size_of_the,"Breeding population size of the Pink-footed Shearwater Ardenna creatopus on Isla Mocha, Chile",0.1,1,52_1_85-96.pdf,breeding_population_size_of_the_1.geojson,breeding_population_size_of_the_1.png,https://pubs.usgs.gov/publication/70254256,public domain,Locations of Pink-footed Shearwater Ardenna creatopus breeding colonies in Chile.
status_of_landbirds_in_the,Status of Landbirds in the National Park of American Samoa,0.1,1,76.2.4.pdf,status_of_landbirds_in_the_1.geojson,status_of_landbirds_in_the_1.png,https://pubs.usgs.gov/publication/70237241,public domain,The Samoan Archipelago and the National Park of American Samoa. Base map from World Geodetic System 1984.
abundance_of_longbilled_curlews_on,Abundance of Long-billed Curlews on military lands in the Columbia Basin,0.5,1a,ACE-ECO-2024-2616.pdf,abundance_of_longbilled_curlews_on_1a.geojson,abundance_of_longbilled_curlews_on_1a.png,https://pubs.usgs.gov/publication/70253577,public domain,"Point count survey locations (centroids of plots) and the number of individuals detected of Long-billed Curlews (Numenius americanus) on the Naval Weapons Systems Training Facility (NWSTF) in Boardman, Oregon in (a) 2015 and (b) 2016. The footprint of the 2015 fire is also shown on both plots. The top inset map shows the location of NWSTF (outlined in red) in the north-central region of Oregon, and the bottom inset map shows the location of Oregon (outlined in red) within North America."
occurrence_of_a_reproducing_wild,"Occurrence of a reproducing wild population of Channa aurolineata (Pisces: Channidae) in the Manatee River drainage, Florida",0.1,3,AI_2022_Nico_etal.pdf,occurrence_of_a_reproducing_wild_3.geojson,occurrence_of_a_reproducing_wild_3.png,https://pubs.usgs.gov/publication/70238323,public domain,"Map of peninsular Florida showing location of MC Channa pond (red star), Manatee County, where Channa aurolineata was documented in 2020. Also shown is the southeast Florida location where the species was discovered in 2000 and its approximate expanded, distribution as of 2021 (source: U.S. Geological Survey, nas.er.usgs.gov)."
tricolored_blackbird_survey_methods,Tricolored blackbird survey methods,0,1,cdfw_00.pdf,tricolored_blackbird_survey_methods_1.geojson,tricolored_blackbird_survey_methods_1.png,https://journal.wildlife.ca.gov/2024/06/06/tricolored-blackbird-survey-methods/?print=pdf,public domain,"Tricolored blackbird breeding and year-round range in California. (Map created by AECOM) The species� geographic range generally occurs in regions with extensive open grasslands and agricultural lands. Most colonies occur at lower elevations (e.g., primarily below 200 m elevation in the Central Valley and adjacent foothills), but where suitable conditions exist, nesting can occur at elevations up to 1,200 m in the foothills of the Sierra Nevada. Transverse Ranges, and Coast Range (Airola et al 2023a; Beedy et al. 2023)."
rescuing_and_monitoring_white_sturgeon,Rescuing and monitoring White Sturgeon during drought on the Tuolumne River,0.3,2,cdfw_02.pdf,rescuing_and_monitoring_white_sturgeon_2.geojson,rescuing_and_monitoring_white_sturgeon_2.png,https://journal.wildlife.ca.gov/2024/06/06/rescuing-and-monitoring-white-sturgeon-during-drought-on-the-tuolumne-river/?print=pdf,public domain,"USFWS and CDFW acoustic receiver locations within the SFE and SJR basin, rescue site on the Tuolumne River (rkm 9.6), relocation site at Mossdale Crossing near Lathrop, CA (SJR rkm 90.1), and Tuolumne River flow gauging station in Modesto, CA (rkm 27; USGS 11290000). Three White Sturgeon were captured, tagged, and relocated to the SJR. Two sturgeon were captured on 22 June and one on 24 June 2021. After the relocation, CDFW monitored the same pool in the Tuolumne River throughout the summer by using an Adaptive Resolution Imaging Sonar (ARIS, Explorer 1800) for the presence of any remaining sturgeon. The ARIS captured images of one sturgeon on 8 August 2021 and another image of two sturgeon three weeks later (Fig. 3). We did not attempt to capture either sturgeon due to increased handling stress related to summer air temperatures and shallow depths at the relocation site. CDFW continued to confirm the presence of these fish until September, when Water Hyacinth (Eichhornia crassipes) covered the pool and prevented CDFW from monitoring with a boat and ARIS. CDFW was able to resume monitoring in December after precipitation increased flows, moving the large patch of vegetation downstream; however, no sturgeon were detected with the ARIS."
fecal_genotyping_to_estimate_small,"Fecal genotyping to estimate small mammal population size, with a comparison to live mark-recapture estimates",0.3,1,cdfw_03.pdf,fecal_genotyping_to_estimate_small_1.geojson,fecal_genotyping_to_estimate_small_1.png,https://journal.wildlife.ca.gov/2024/03/28/fecal-genotyping-to-estimate-small-mammal-population-size-with-a-comparison-to-live-mark-recapture-estimates/?print=pdf,public domain,"The main study area for giant kangaroo rats (2020�2011) consisted of two grids in the longterm Carrizo Plains Ecosystem Project, located in the Carrizo Plain National Monument, San Luis Obispo County, California. Both plots were sampled in an 11 x 11-point grid (10 m spacing), with live trapping occurring on every other point in a checkerboard pattern (larger circles), and fecal pellet collection occurring at every point (larger and smaller circles)."
incidental_take_of_giant_sea,Incidental take of Giant Sea Bass in the gill net fishery,0.2,7,cdfw-04.pdf,incidental_take_of_giant_sea_7.geojson,incidental_take_of_giant_sea_7.png,https://journal.wildlife.ca.gov/2024/03/28/incidental-take-of-giant-sea-bass-in-the-gill-net-fishery/?print=pdf,public domain,"Heat map of White Sea Bass (WSB) and California Halibut (Halibut) catch locations combined, overlaid with Giant Sea Bass (GSB) catch locations within the Southern California Bight, 2012�2021. The size of fish shape denotes the number of GSB caught and the colors portray the combined Halibut/WSB landings in pounds. X�s denote GSB landings that were redacted from fishing blocks with less than three distinct vessels, businesses, or fishing permits to preserve confidentiality"
syntopy_in_california_redlegged_and,Syntopy in California red-legged and foothill yellow-legged frogs in their aquatic habitat,0.5,1,cdfw-06.pdf,syntopy_in_california_redlegged_and_1.geojson,syntopy_in_california_redlegged_and_1.png,https://journal.wildlife.ca.gov/2023/12/29/syntopy-in-california-red-legged-and-foothill-yellow-legged-frogs-in-their-aquatic-habitat/?print=pdf,public domain,"The ranges of California red-legged frog (CRLF), and foothill yellow-legged frog (FYLF), areas of range overlap, and the regions of our sites of investigation in California, 2023. Geographical distributions"
a_simple_genetic_method_to,A simple genetic method to distinguish mule deer and bighorn sheep fecal pellets and its application to detecting bighorn sheep colonization events in California,0.3,1,cdfw-07.pdf,a_simple_genetic_method_to_1.geojson,a_simple_genetic_method_to_1.png,https://journal.wildlife.ca.gov/2023/12/29/a-simple-genetic-method-to-distinguish-mule-deer-and-bighorn-sheep-fecal-pellets-and-its-application-to-detecting-bighorn-sheep-colonization-events-in-california/?print=pdf,public domain,Map of sample locations in California with red cross symbols denoting colonization detections and blue circles indicating other sampling locations.
